NID,BEH_NUM,NOM,KOLSAMPLE,DATA_REC,AUT_REC,NAZ,SPUT,AGE,STR,GEOGRAPHY,SIZE1,SIZE2,SIZE3,WEIGHT,PRESERV,PREPAR,NAME_KOL,NOM_KOL,NAME_KAT,NOM_KAT,AUT_FIND,AGE_FIND,FAMIL_DEL,YEAR_DEL,DESCR,LITERAT,LON,LAT
536,0006-0351,867,2,1996,Коноплева В.И.,Медь,,,Словакия,Spania Dolina,4.5,1.5,1,,хорошая,,Разумовский,0023-0026,,,Разумовский Г.К.,1780-1835,"Молошников,МГРИ,МГУ",1858,"почковидные корки красновато-темнокоричневые, покрытые тонким налетом окислов, сквозь который проблескивают чистые грани кристаллов меди; на боковом изломе образцов и в основании видны черные прослойки тенорита и удлиненные щепковидные светлые включения кристаллического (кварц-мусковитового?) сланца; размер 2-го образца: 3.5х2х1см",,19.134798,48.807795
1301,0006-0360,2569,1,1996,Коноплева В.И.,"Киноварь, стибнит(антимонит)",,,Югославия,"Идрия, Крайна",5.5,4,2,,хорошая,,Разумовский,135-136,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"киноварь красновато-серая; одна сторона образца пришлифована, противоположная выпуклая, серовато-красная, на отдельных участках видно замещение удлиненных кристаллов стибнита криноварью;",,,
1302,0006-0358,2570,1,1996,Коноплева В.И.,"Киноварь, марказит",,,Югославия,"Идрия, Крайна",12,6.5,3,,хорошая,,,,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"киноварь вишнево-красная, тонкокристаллическая образует налеты на стенках трещин и тонкие прожилки; марказит мелкокристаллический, темносерый образует тонкие прожилки; вмещающая порода - зона дробления и смятия, с многочисленными зеркалами скольжения, в кварцитах; образец - брусок, одна сторона его выпуклая, другая вогнутая;",,,
1303,0006-0359,2571,1,1996,Коноплева В.И.,Киноварь,,,Югославия,"Идрия, Крайна",8,6,2,,хорошая,,Разумовский,135-136,,,Разумовский Г.К.,1837,"Молошников,МГРИ,МГУ",1858,монолит киновари темносерый с красной побежалостью на сколе; одна сторона образца (треугольная плитка) отполирована; на ней астрологический знак ртути и надпись Tinera Mercury Fogina Igriensis; на противоположной стороне образца - зеркало скольжения;,,,
1714,0006-0331,3113,1,1996,Веренич В.В.,Кварц,,,Испания,,5,4.5,4,,хорошая,,Разумовский,,,,Разумовский Г.К.,до 1837,"Молошников,МГРИ,МГУ",1837-58,друзовидный агрегат разнонаправленных кристаллов кварца от прозрачных бесцветных до полупрозрачных светлосерого цвета со штриховкой на гранях; на поверхности кристаллов и между кристаллами присыпка какого-то минерала серого цвет; размеры индивидов кварца от 0.2 до 2.8см в длину; с одной стороны образца участок  0.8х0.7см мелкозернистого кварца белого цвета,,-3.362933,39.85892
1951,0006-0332,3571,1,1996,Андреева И.П.,Кварц,Тетраэдрит,,Словакия,Банска-Штьявница (Шемниц),13.5,9,5.5,,хорошая,,Разумовский,160?,,,Разумовский Г.К.,до 1837,"Молошников,МГРИ,МГУ",1837-1856,"плоский образец треугольной формы - щетка из разновеликих (от0.5 до 5см) разноориентированных прозрачных и полупрозрачных удлиненно-призматических кристаллов кварца; крупные кристаллы (6-7 индивидов)возвышаются над неровной поверхностьющетки и отличаются от мелких искривленностью форм, неровной поверхностью граней и наличием внутри кристаллов залеченных трещин и пузырчатых вобразований; в основании щетки - волнистая прожилковидная полоска толщиной 0.1-0.3см, сложенная сульфидами (тетраэдрит, сфалерит и др.); с обратной стороны щетки - бугристая поверхность, покрытая мелкодрузовым мутно-белымкварцем, обильно присыпанным желтоватой глиной",,19.638735,48.672714
2316,0006-0246,4433,1,1996,Брюшкова Л.П.,Кварц авантюриновый,,,Испания,,9.5,6,1.5,,хорошая,,,,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,полированная горбушка золотисто-красного цвета,,-3.362933,39.85892
2509,0006-0211,4872,1,1996,Андреева И.П.,Плитка-хризопраз,,,,"Силезия,Kasemutz",10,7,4,,средняя,,Разумовский,б/N(194-198),,,Разумовский,,"МГРИ,МГУ",до 1858,зеленовато-белый с включениями мелкообломочной породы в виде прослоев и с желтовато-ржавыми разводами;штуф полированный с одной стороны;есть трещины,,13.160867,53.498137
2510,0006-0247,4873,1,1996,Брюшкова Л.П.,Хризопраз,,,Германия,"Kosemitz, Schlesien",10,9,1,,хорошая,,,,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,"полированная горбушка яблочно-зеленого хризопраза, неравномерно окрашенного, с участками вмещающей породы",,13.160867,53.498137
2511,0006-0212,4874,1,1996,Андреева И.П.,Плитка-хризопраз,,,,"Силезия,Kasemutr","8,5","6,5","2,8",,средняя,,Разумовский,б/N(194-198),,,Разумовский,,"МГРИ,МГУ",до 1858,"светло-зеленый,неравномерно окрашенный с белыми и ржавыми пятнами;края отбиты,трещины!",,13.160867,53.498137
2528,0006-0213,4911,1,1996,Андреева И.П.,Плитка-празем,,,,"Силезия,Kasemutz","15,5",7,3,,средняя,,Разумовский,167,,,Разумовский,,"МГРИ,МГУ",до 1858,"темно-зеленый с белыми разводами,сплошным куском,с одной стороны полированным;есть пустоты и трещины",,,
2537,0006-0307,4928,1,1996,Брюшкова Л.П.,Агат,,,Германия,"Oberstein, Бавария",11.5,7.0,7.0,,хорошая,,Разумовский,174-188,,,Разумовский,1837 до,"Молошников,МГРИ,МГУ",1858 до,полированная горбушка от жеоды округлой формы концентрически зонального стороения из серо-голубого полосчатого агата на периферии и шестоватого кварца-аметиста в центре,,9.830695,47.55619
2566,0006-0308,4961,1,1996,Брюшкова Л.П.,Агат,,,Германия,"Oberstein, Бавария",11.5,9.5,6.5,,хорошая,,Разумовский,174-188,,,Разумовский,1837 до,"Молошников,МГРИ,МГУ",1858 до,"полированная горбушка, фрагмент жеоды концентрически-зонального строения из зеленоватого и сиреневого агата по периферии и желтого и белого агата и мелкошестоватого кварца в центре",,9.830695,47.55619
2579,0006-0305,4977,1,1996,Брюшкова Л.П.,Агат,,,Германия,Palatinat,10.0,7.5,4.0,,хорошая,,Разумовский,189,,,Разумовский,1837 до,"Молошников,МГРИ,МГУ",1858 до,"полированная горбушка из красивого желтого агата с красными прожилками. вмещающего жеоду зонального строения, нацело выполненную голубовато- розовым агатом (периферия) и мелкошестоватым кварцем (центр)",,10.551692,51.228764
2582,0006-0309,4980,1,1996,Брюшкова Л.П.,Агат,,,Германия,Durlach,7.0,3.5,2.0,,хорошая,,Разумовский,190,,,Разумовский,1837 до,"Молошников,МГРИ,МГУ",1858 до,"плоский полированный спил поперек жеоды, концентрически-зонального строения с голубоватым агатом по краю жеоды, тонкой зоной (1-2мм) аметиста и бесцветным кварцем в центре",,8.472694,49.001259
2586,0006-0248,4984,1,1996,Брюшкова Л.П.,Агат,,,Чехия,Bohmen,10,6,1,,хорошая,,,,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,"полированная с одной стороны пластинка неправильной формы, сложена голубоватым прозрачным сильно трещиноватым агатом, рисунок создается трещинами, залеченными разнообразным материалом; материал был обработан П.П.Пилипенко в статье 'К вопросу о генезисе агатов'",,15.52791,49.803795
2699,0006-0273,5100,1,1996,Карский Б.Е.,Кальцит,Пирит,,Венгрия,,11,6,2,,хорошая,,Разумовский,407,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,корка из перистых острых скаленоэдрических кристаллов кальцита; перистые агрегаты плоские веерообразные до 2х1.5х0.3см; кальцит матовый серовато-зеленый; в основании корки - серая кремнистая порода субогой вкрапленностью пирита,,19.136325,47.161627
2767,0006-0322,5171,1,1996,Исаева Е.А.,Кальцит,,,Великобритания,"Англия, Дербишир",8.5,5.5,4,,хорошая,,Разумовский,408?,,,Разумовский Г.К.?,1822,"Молошников?,МГРИ,МГУ",1856,"друза ромбоэдрических кристаллов желтоватого исландского шпата длинной до 2см на темно-сером известняке, выделяется один крупный кристалл, лежащий на более мелких размером 6,5х3х2,5, в плане образец имеет трапецевидную форму",,-1.276317,52.515717
2914,0006-0270,5329,1,1996,Руднев В.В.,Кальцит,,,Германия,"Гарц,Андреасберг,р-к Юлиана",32,22,7,,хорошая,,Разумовский,,,,Разумовский,до 1837,"Молошников П.,МГРИ,МГУ",1858,друза из столбчатых гексагональных призматических кристаллов с плоскими (пинакоид) вершинами; кристаллы бесцветные полупрозрачные до прозрачных с размерами от 0.5х0.5х1см до 3х3х3см,,8.431659,51.324868
3047,0006-0319,5489,1,1996,Руднев В.В.,Кальцит,,,Германия,"Саксония, Фрайберг",12,11,5.5,,хорошая,,Разумовский,404,,,Разумовский Г.К.,до 1822,"Молошников,МГРИ,МГУ",до 1856,"друза из мелких (от первых до 15мм) остропирамидальных кристаллов, непрозрачных, молочно-белого цвета, несущих следы чередующихся роста и растворения, на гранях имеется односторонний налет из тонкозернистого пирита, частично перекрывающийся более поздним слоем кальцита, в подложке мелкозернистый мраморизованный серовато-бурый известняк(?) с рассеянной вкрапленностью мелких зерен пирита, сфалеритаи галенита",,13.340799,50.914518
3048,0006-0274,5490,1,1996,Карский Б.Е.,Кальцит,,,Германия,"Саксония,Фрайберг",10,6,6,,хорошая,,Разумовский,405,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,"друза черного кальцита: кристаллы короткопризматические с хорошо выраженными гранями гексагональной призмы и головками в виде тупых ромбоэдров; на боковых сколах образца видно, что внутренние части кристаллов представлены белым полупрозрачным кальцитом и только внешние зоны тощиной 1-1.5мм - черным кальцитом; размер кристаллов в друзе до 1.5х1х1см; в основании друзы - крупнокристаллический белый ирозоватый кальцит",,13.340799,50.914518
3077,0006-0355,5520,1,1996,Руднев В.В.,Кальцит,"Доломит, кварц",,Германия,"Саксония, Freiberg",13,9,6,,хорошая,,Разумовский,403,,,Разумовский Г.К.,до 1837,"Молошников,МГРИ,МГУ",1858,"друзовидная щетка из бесцветных прозрачных расщепленных призматических кристаллов кальцита с притупленной ромбоэдрической вершиной развивается на массивном средне-крупнозернистом доломите? , образующем на поверхности подложки сфероидальные агрегаты из ромбоэдрических кристаллов с изогнутыми гранями, в доломите в виде неравномерной вкрапленности и в основании кальцитовой щетки в виде мелкозернистыхкорочек и присыпки развиты сульфиды: арсенопирит, возможно, аргентопирит и др., имеются редкие включения бесцветного или бледнодымчатого кварца",,13.340799,50.914518
3521,0006-0310,6012,1,1996,Руднев В.В.,Адуляр,Мусковит,,Швейцария,St. Gothard,11,10,9,,хорошая,,Разумовский,,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"Сросток крупных (до 5х6 см) полупрозрачных участками прозрачных бесцветных призматических кристаллов адуляра с гладкими либо ступенчатыми гранями, в промежутках между кристаллами адуляра развита желтовато-бурая м/з масса из тонкочешуйчатого мусковита и ,возможно, полевого шпата?, а также полностью лимонитизированные диопсидовые кристаллы сидерита (полные псевдоморфозы), образующие гнезда и щетки;",,8.57406,46.628259
4985,0006-0214,8169,1,1996,Андреева И.П.,Плитка-яшма,,,Германия,"Саксония,Gnadestein",11,5,"1,5",,хорошая,,Разумовский,б/N(246-248),,,гр.Разумовский,,"МГРИ,МГУ",до 1858,"полосчатая бежево-красно-зеленая с пятнами и разводами;пластина с неровными краями,отполированная с одной стороны",,13.52163,50.9281
4993,0006-0215,8192,1,1996,Андреева И.П.,Плитка-яшма,,,Германия,"Саксония,Фрайберг",9,6,3,,хорошая,,Разумовский,б/N(249-252),,,гр.Разумовский,,"МГРИ,МГУ",до 1858,"темно-сургучно-красная;штуф,полированный с одной стороны",,13.340799,50.914518
4994,0006-0249,8194,1,1996,Брюшкова Л.П.,Яшма,Кварц,,Германия,"Бавария,Oberstein",7,6,2.5,,хорошая,,,,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,"полированная горбушка: участки кирпично-красной полосчатой яшмы концентрического строения, промежутки выполнены агрегатом прозрачного бесцветного шестоватого кварца, нарастающего с обеих сторон трещин",,9.830695,47.55619
5002,0006-0250,8211,1,1996,Брюшкова Л.П.,Яшма,,,Чехия,Богемия,11,6.5,2.5,,хорошая,,,,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,полированная горбушка рыжевато-коричневой яшмы неравномерной окраски; в центре - рисунок из залеченных трещин,,15.52791,49.803795
5003,0006-0251,8212,1,1996,Брюшкова Л.П.,Яшма,Халцедон,,Чехия,Богемия,13,8,2,,хорошая,,,,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,полированная горбушка пятнистой яшмы: мелкие (до 1см) участки рыжей яшмы сцементированы бесцветным прозрачным халцедоном,,15.52791,49.803795
5079,0006-0311,8358,1,1996,Руднев В.В.,Опал,Порфирит диабазовый,,Венгрия,"Окр. Червеницы, Сарошский комитат, ок. Кашау",14,11,10,,плохая,,Разумовский,,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"На темно-сером м/з диабазовом порфирите остатки корочек беспородного опала от бесцветного прозрачного до молочно-белого перламутрового, медового и огненно-красного;",,,
7080,0006-0323,11391,1,1996,Исаева Е.А.,Ктипеит(арагонит),,,Чехия,Карловы Вары,12,7.5,1.5,,хорошая,,Разумовский,465-516,,,Разумовский Г.К.,до 1822,"Молошников,МГРИ,МГУ",1856,"плитка каплевидных очертаний в плане с одной стороны пришлифована с другой полирована, ктипеит розовато-бежевый, оолиты размером до 2мм стянуты к одному краю плитки размером 3-8мм к другому",,12.867441,50.230917
7081,0006-0255,11394,1,1996,Матиас В.В.,Арагонит,,,Чехословакия,Карлсбад,11.0,7.0,2.5,,средняя,,Разумовский,0493,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,"образец представлен полосчатым, фестончатым серо-коричнево-черным арагонитом; полосы разной толщины параллельно-волнистые, коричневый и черный цвет возможно за счет железа (лимонит или анкерит-сидерит), трещины в образце; с HCL - пол.реакция; (шпредульштейн - разновидность туера)",,-117.350186,33.158094
7092,0006-0256,11496,1,1996,Матиас В.В.,Ктипеит,,,Чехия,Карлсбад,12.0,6.5,4.0,,хорошая,,,,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,"арагонит в виде скрытокристаллической разновидности в оолитах (пизопирах), - ктипеит или гороховый (оолитовый известняк); полированная одна сторона, на ней хорошо видны отдельные пизолиты (оолиты) желтовато- или кричневато-серого цвета, имеющие концентрическую зональность",,12.867441,50.230917
7209,0006-0257,11817,1,1996,Матиас В.В.,Малахит,Лимонит,,Венгрия,Bannat,8.0,5.0,3.0,,хорошая,,,,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,"натечные формы зеленого малахита, чаще светлых тонов,  сбоку видна полосчатость, выраженная черными полосами и зелеными с голубым оттенком; внутри почек видно, что центральная их часть представлена лимонитом",,19.136325,47.161627
7305,0006-0258,11920,1,1996,Матиас В.В.,Малахит,"Лимонит, каолинит, азурит",,Россия,"Ср.Урал, Гумешевский рудн.",20,13,4,,хорошая,,Разумовский,0417,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,"большой образец, на лицевой стороне две разновидности малахита: первый - натечный, почковидный, гроздевидный светло-зеленого цвета и вторая - в виде пористого агрегата малахита, азурита и лимонита с каолинитом ячеистой текстуры; малахит второй разновидности слагает стенки ячей и под лупой видно, что это тоже натечные, почковидные формы",,61.530761,58.586755
7328,0006-0244,11945,1,1996,Минина Е.Л.,Малахит,"Оксиды Cu, лимонит",,Россия,"Гумешевский рудн., Ср. Урал",26,12,10,,хорошая,,Разумовский,0414,Разумовский,0414,Разумовский,XVIII,МГРИ,,"инкрустация трещины в слюдяном сланце агрегатом псевдосталактитов. малахита; полость трещины выполнена с одной стороны коркой почковидного малахита, а с другой - сталактитоподобными почками малахита т.-зеленого цвета; на сколах малахит конц.-зональный ярко-зеленого цвета; другая полость также выполнена почковидной коркой и агрегатом псевдосталактитов; у основания корки набл. прожилок молочно-белого кварца 0.5-0.6 см, другой прожилок локализуется в слюд. сланце послойно 000.3 см; в 'ядре' малахитовой корки   рыхлый агрегат землистого малахита, оксидов Cu и лимонита",,60.564955,56.975804
7354,0006-0320,11977,1,1996,Минина Е.Л.,Малахит,,,Россия,"Урал, Гумешевский рудн.",8,8.5,4,,хорошая,,Разумовский,0421,,,Разумовский Г.К.,до 1822,"Молошников,МГРИ,МГУ",до 1856,"причудливая сферолито-сталактитовая корка малахита; травяно-зеленого цвета, сталактиты размером 1,5х0,5 - 3х1 ориентированы субпараллельно на фоне агрегата округлых почковидных сферолитов размером 0,3-1см, размер почек малахита увеличивается по удалению от сталактитов, здесь сферолитовая корка изгибается на внутреннюю поверхность образца, отдельные сферолиты имеют скорлуповатую поверхность, внутренняя часть почек более темная",,60.564955,56.975804
7821,0006-0259,13081,1,1996,Матиас В.В.,"Известняк (литографический камень),",,,Германия,"Бавария,Pappenhein",15,15,0.8,,хорошая,,Разумовский,518,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,красивый узор из коричневых дендритов лимонита на поверхности тонкой плитки тонкозернистого известняка - литографического камня; залеченная трещина,,10.974646,48.935835
8902,0006-0343,15218,1,1996,Брюшкова Л.П.,Золото,,,Румыния,Трансильвания,6,6,5,335.02,хорошая,,Разумовский,1-17,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"Туфобрекчия темно-серая трахитовая (?) на поверхности трещин, покрытых поздним кварцем, видимое моховое золото.",,24.302788,45.942138
10791,0006-549,20227,1,1998,Карский Б.Е.,Гематит,,,Германия,"Гарц,Zorye",8,7,5,,хорошая,,Разумовский,103-105,,,Разумовский А.К.,1820,"Молошников,МГРИ,МГУ",до 1858,гематит (красная стеклянная голова) - натечный агрегат темного красновато-коричневого гематита: размер сферолитов до 2.5см в диаметре; на обратной стороне образца на сколе видно скорлуповатое строениесферолита; на сферолитах местами яркая красная корочка гематита,,10.916022,51.812754
10818,0006-0216,20268,1,1996,Андреева И.П.,Плитка-манганит,,,Италия,,19,10,"0,3",,средняя,,Разумовский,521,,,гр.Разумовский,,"МГРИ,МГУ",до 1858,"красивые тонкие дендриты марганца(манганит)на литографическом камне светло-желтого цвета;пластина с неровными краями,отполированная с одной стороны;края побиты,трещиноватая",,10.349284,44.954457
10987,0006-0253,20563,1,1996,Карский Б.Е.,Золото,Песчаник,,Румыния,Трансильвания,9,5,3.5,,хорошая,,Разумовский,?,,,Разумовский Г.К.,до 1837,"Молошников,МГРИ,МГУ",1858,порстые уплощенные дендритные сростки зернистого сложения; наиболее крупные зерна золота - до 0.5мм,,24.302788,45.942138
10996,0006-0345,20572,1,1996,Брюшкова Л.П.,Золото,,,Румыния,"Offenbanya, Трансильвания",4,3,0.5,12.95,хорошая,,Разумовский,1-17,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"фрагмент стенки пустотки, покрытой корочкой-щеткой кварца (2 мм), по которой развиваются кристаллы темного сульфида (тетраэдрит?) и богатое моховое золото; проба-583, лигатура- 0,50 (экспертиза 1991г.- N 456)",,,
11018,0006-0350,20597,1,1996,Карский Б.Е.,Медь,,,Чехия,Герренгрунд,13,6,4,,хорошая,,Разумовский,0023-0026,,,Разумовский Г.К.,до 1837,"Молошников,МГРИ,МГУ",1858,"самородная медь, снятая с крепи в руднике: ветвистые дендриты, покрытые тонкой пленкой куприта и медной зелени; на обратной стороне на меди видны отпечатки волокон крепежной древесины",,15.52791,49.803795
11160,0006-550,20860,1,1997,Карский Б.Е.,Стефанит,Кварц,,Германия,"Гарц, Andreasberg",8,5,2,,хорошая,,Разумовский,,,,Разумовский,1858 до,"Разумовский,МГРИ,МГУ",1858,"агрегат мелких таблитчатых кристаллов и вытянутых зерен, образующих корку толщиной до 1 см, в стефаните равномерно распределены кристаллы пираргирита и галенита",,10.916022,51.812754
11236,0006-0324,21028,1,1996,Стародубцева И.А.,Яшмо-конгломерат(пуддинштейн),,,Великобритания,"Шотландия, Aberdeenshire",9,6.5,0.7,,хорошая,,Разумовский,0818,,,Разумовский Г.К.,до 1837,"Молошников,МГРИ,МГУ",1858,"представляет собой овальные включения яшмы серого цвета в розовато-бежевой яшме, окраска образца контрастная, образец приполирован",,-2.762275,57.221548
11243,0006-0269,21043,1,1996,Карский Б.Е.,Агат,Гематит,,Германия,"Бавария,Oberstein",9.5,7,5,,хорошая,,Разумовский,174-188,,,Разумовский Г.К.,до 1837,"Молошников П.,МГРИ,МГУ",1858,"Полированный концентрически-зональный агат овальной заостренной формы с чередованием зон коричневого, белого, серого и красновато-коричневого цвета; внутренняя ядерная часть - коричневато-красная; обратная сторона образца - бугристая с выделениями гематита до 1см в поперечнике; по каталогу МГРИ - Бавария, Оберштайн",,9.830695,47.55619
